id;longitude;latitude;log1;log2;predial;tipo_acid;data;dia_sem;hora;feridos;fatais;automoveis;transporte_publico;caminhao;moto;bicicleta;outros;vitimas;precipitacao;chuva
600997;-51.162504999999996;-30.065339;R NOVE DE JUNHO;nan;333;ABALROAMENTO;2015-01-02;SEXTA-FEIRA;16:20:00;1;0;1;0;0;1;0;0;1;2.2;Sem chuva
601005;-51.229128;-30.027656;R URUGUAI;nan;97;ATROPELAMENTO;2015-01-03;SÁBADO;06:59:00;1;0;1;0;0;0;0;0;1;0.0;Sem chuva
601007;-51.198287;-30.07538;R PEDRO BOTICARIO;nan;884;ABALROAMENTO;2015-01-03;SÁBADO;14:20:00;1;0;2;0;0;0;0;0;1;0.0;Sem chuva
601056;-51.037317;-30.213690000000003;ESTR ARMANDO INACIO DA SILVEIRA;nan;2885;COLISÃO;2015-01-05;SEGUNDA-FEIRA;18:00:00;2;0;2;0;0;0;0;0;1;0.0;Sem chuva
601058;-51.189417999999996;-30.085913;R DA GRUTA;AV PROF OSCAR PEREIRA;0;CHOQUE;2015-01-05;SEGUNDA-FEIRA;20:30:00;0;0;1;0;2;0;0;0;0;0.0;Sem chuva
601071;-51.174351;-30.008021999999997;AV ASSIS BRASIL;nan;1144;ABALROAMENTO;2015-01-02;SEXTA-FEIRA;13:50:00;0;0;1;0;0;1;0;0;0;2.2;Sem chuva
601073;-51.19938;-30.001998999999998;nan;nan;0;CHOQUE;2015-01-03;SÁBADO;10:50;0;0;2;0;0;0;0;0;0;0.0;Sem chuva
601081;-51.207033;-30.002251;nan;nan;3705;COLISÃO;2015-01-05;SEGUNDA-FEIRA;07:10;0;0;2;0;0;0;0;0;0;0.0;Sem chuva
601130;-51.135126;-30.033535999999998;R TEN ARY TARRAGO;AV MARIO MENEGHETTI;0;COLISÃO;2015-01-02;SEXTA-FEIRA;09:45:00;0;0;1;1;0;0;0;0;0;2.2;Sem chuva
601136;-51.233459;-30.042115999999996;nan;nan;0;COLISÃO;2015-01-03;SÁBADO;19:00;0;0;2;0;0;0;0;0;0;0.0;Sem chuva
601157;-51.185736999999996;-30.026557;nan;nan;993;COLISÃO;2015-01-05;SEGUNDA-FEIRA;13:45;0;0;3;0;0;0;0;0;0;0.0;Sem chuva
601159;-51.163188;-30.040002;nan;nan;4809;CHOQUE;2015-01-05;SEGUNDA-FEIRA;14:55;0;0;2;0;0;0;0;0;0;0.0;Sem chuva
601161;-51.115314;-30.038101;nan;nan;9698;ABALROAMENTO;2015-01-05;SEGUNDA-FEIRA;09:30;0;0;0;1;1;0;0;0;0;0.0;Sem chuva
601163;-51.210011;-30.049384999999997;nan;nan;0;ABALROAMENTO;2015-01-05;SEGUNDA-FEIRA;06:50;0;0;2;0;0;0;0;0;0;0.0;Sem chuva
601169;-51.200863;-30.05395;nan;nan;1206;COLISÃO;2015-01-06;TERÇA-FEIRA;13:15;0;0;1;1;0;0;0;0;0;0.0;Sem chuva
601201;-51.224719;-30.035819;nan;nan;0;COLISÃO;2015-01-07;QUARTA-FEIRA;13:50;0;0;2;0;0;0;0;0;0;0.0;Sem chuva
601203;-51.221524;-30.060693;nan;nan;987;ABALROAMENTO;2015-01-08;QUINTA-FEIRA;09:00;0;0;2;0;0;0;0;0;0;0.0;Sem chuva
601209;-51.088212;-30.045882000000002;AV PROTASIO ALVES;nan;12790;ABALROAMENTO;2015-01-09;SEXTA-FEIRA;07:40:00;1;0;1;0;0;1;0;0;1;0.0;Sem chuva
601214;-51.213784000000004;-30.02625;AV CRISTOVAO COLOMBO;nan;398;ABALROAMENTO;2015-01-05;SEGUNDA-FEIRA;15:20:00;1;0;1;0;0;1;0;0;1;0.0;Sem chuva
601216;-51.218892;-30.044069;nan;nan;16;CHOQUE;2015-01-08;QUINTA-FEIRA;09:00;0;0;2;0;0;0;0;0;0;0.0;Sem chuva
601232;-51.158483000000004;-30.057841999999997;R CAPITAO PEDRO WERLANG;nan;87;ABALROAMENTO;2015-01-09;SEXTA-FEIRA;19:00:00;1;0;1;0;0;1;0;0;1;0.0;Sem chuva
601293;-51.213988;-30.019023999999998;nan;nan;1733;ABALROAMENTO;2015-01-07;QUARTA-FEIRA;10:00;0;0;1;0;1;0;0;0;0;0.0;Sem chuva
601295;-51.136334999999995;-30.007339;nan;nan;351;CHOQUE;2015-01-07;QUARTA-FEIRA;08:15;0;0;2;0;0;0;0;0;0;0.0;Sem chuva
601301;-51.194614;-30.041037;nan;nan;2075;ABALROAMENTO;2015-01-08;QUINTA-FEIRA;09:30;0;0;2;0;0;0;0;0;0;0.0;Sem chuva
601307;-51.154646;-30.022119;nan;nan;450;CHOQUE;2015-01-08;QUINTA-FEIRA;08:10;0;0;1;0;0;0;0;0;0;0.0;Sem chuva
